Sample_Name,Site_ID,Collection_Date,D_2H,D_2H_StDev,D_18O,D_18O_StDev
1785,DC-C1WSP-1785,8/17/2023,-118.702704,2.78E-01,-15.77986,-6.214572
1791,DC-C1E-1791,8/17/2023,-117.836572,1.88E-01,-15.970237,-6.127345
1794,DC-LR-1794,8/17/2023,-116.222601,1.65E+00,-15.537443,-6.105206
1797,DC-MR-1797,8/17/2023,-117.068194,9.10E-01,-15.581477,-6.084396
1800,DC-UR-1800,8/17/2023,-116.543,4.15E-01,-15.443136,-6.077423
1803,DC-LG-1803,9/1/2023,-117.205979,8.68E-01,-15.685549,-6.262867
1808,DC-C2E-1808,9/1/2023,-118.87242,2.06E-01,-15.745012,-6.327134
1811,DC-C2M-1811,9/1/2023,-118.117421,2.79E+00,-15.992982,-6.392355
1814,DC-C1WSP-1814,9/1/2023,-119.677374,8.11E-01,-15.875427,-6.469069
1820,DC-C1E-1820,9/1/2023,-119.089151,4.69E-01,-15.930802,-6.543487
1823,DC-LR-1823,9/1/2023,-117.664335,7.06E-01,-15.588467,-6.626752
1826,DC-MR-1826,9/1/2023,-118.16214,3.76E-01,-15.742629,-6.6968
1829,DC-UR-1829,9/1/2023,-117.171732,4.68E-01,-15.670927,-6.768134
1832,DC-LG-1832,9/13/2023,-116.246399,7.25E-01,-15.516627,-6.835549
1837,DC-C2E-1837,9/13/2023,-118.748992,9.45E-01,-15.921557,-7.013318
1840,DC-C2M-1840,9/13/2023,-119.688937,1.63E+00,-15.798982,-7.001327
1843,DC-C1WSP-1843,9/13/2023,-120.917727,2.01E+00,-15.959806,-6.980577
1849,DC-C1E-1849,9/13/2023,-119.225495,8.40E-01,-15.791395,-6.959754
1852,DC-LR-1852,9/13/2023,-117.279003,7.68E-01,-15.51715,-6.935503
1855,DC-MR-1855,9/13/2023,-118.686327,4.59E-01,-15.539254,-6.902173
1858,DC-UR-1858,9/13/2023,-116.87739,1.12E+00,-15.553559,-6.82734
1861,DC-LG-1861,9/27/2023,-117.371155,1.01E+00,-15.571299,-6.595013
1866,DC-C2E-1866,9/27/2023,-120.067163,9.95E-01,-15.834763,-6.556308
1869,DC-C2M-1869,9/27/2023,-118.48974,1.16E+00,-15.711255,-6.524507
1872,DC-C1WSP-1872,9/27/2023,-120.156359,1.24E+00,-15.945017,-6.489293
1878,DC-C1E-1878,9/27/2023,-119.385203,8.42E-01,-15.984111,-6.458153
1881,DC-LR-1881,9/27/2023,-117.808333,1.78E-01,-15.307369,-6.436771
1884,DC-MR-1884,9/27/2023,-117.131357,9.94E-01,-15.273895,-6.382193
1887,DC-UR-1887,9/27/2023,-116.659957,2.41E-01,-15.291476,-6.356571
1890,DC-LG-1890,10/11/2023,-117.350048,1.21E+00,-15.513749,-6.22769
1895,DC-C2E-1895,10/11/2023,-118.773836,1.30E+00,-15.479712,-6.209167
1898,DC-C2M-1898,10/11/2023,-117.08679,2.61E-01,-15.691351,-6.187571
1901,DC-C1WSP-1901,10/11/2023,-118.678429,1.22E+00,-15.394445,-6.172988
1907,DC-C1E-1907,10/11/2023,-117.74217,4.60E-01,-15.577819,-6.151519
1910,DC-LR-1910,10/11/2023,-116.93397,2.06E+00,-15.466349,-6.134329
1913,DC-MR-1913,10/11/2023,-116.460055,3.87E-01,-15.296774,-6.115324
1916,DC-UR-1916,10/11/2023,-117.006198,2.49E+00,-15.451079,-6.095792
1919,DC-LG-1919,10/25/2023,-119.732549,1.08E+00,-15.49673,-5.943264
1924,DC-C2E-1924,10/25/2023,-121.298037,7.93E-01,-15.69614,-5.920733
1927,DC-C2M-1927,10/25/2023,-118.768398,1.03E+00,-15.621455,-5.905615
1930,DC-C1WSP-1930,10/25/2023,-119.182804,1.56E+00,-15.270552,-5.899783
1936,DC-C1E-1936,10/25/2023,-118.900261,1.67E+00,-15.420192,-5.88484
1939,DC-LR-1939,10/25/2023,-118.537896,1.04E+00,-15.486324,-5.877079
1942,DC-MR-1942,10/25/2023,-117.089681,1.02E+00,-15.22508,-5.878763
1945,DC-UR-1945,10/25/2023,-118.018114,9.48E-01,-15.505504,-5.877157
1948,DC-LG-1948,11/8/2023,-117.299972,1.50E+00,-15.236692,-5.888999
1953,DC-C2E-1953,11/8/2023,-119.532569,2.32E+00,-15.673309,-6.05467
1956,DC-C2M-1956,11/8/2023,-117.303088,3.43E+00,-15.668659,-6.110369
1959,DC-C1WSP-1959,11/8/2023,-116.89733,8.69E-01,-15.562817,-6.164188
1962,DC-C1W-1962,11/8/2023,-116.456267,1.66E+00,-15.338881,-6.222463
1965,DC-C1E-1965,11/8/2023,-117.94869,9.56E-01,-15.783866,-6.276003
1968,DC-LR-1968,11/8/2023,-116.353922,3.63E+00,-15.332655,-6.341646
1971,DC-MR-1971,11/8/2023,-118.220204,1.26E+00,-15.624138,-6.400158
1974,DC-UR-1974,11/8/2023,-118.124728,1.18E+00,-15.624828,-6.524048
1977,DC-LG-1977,11/20/2023,-122.849883,3.27E-01,-16.305282,-6.852806
1982,DC-C2E-1982,11/20/2023,-120.303087,2.22E+00,-15.934161,-6.908151
1985,DC-C2M-1985,11/20/2023,-119.520392,1.42E+00,-15.72727,-6.959706
1988,DC-C1WSP-1988,11/20/2023,-118.392421,2.24E+00,-15.357719,-7.013166
1991,DC-C1W-1991,11/20/2023,-118.76899,2.33E+00,-15.351858,-7.058981
1994,DC-C1E-1994,11/20/2023,-121.259076,2.24E+00,-15.930914,-7.091167
1997,DC-LR-1997,11/20/2023,-120.309911,1.06E+00,-15.743693,-7.138019
2000,DC-MR-2000,11/20/2023,-119.838323,1.78E+00,-15.657695,-7.176149
2002,DC-UR-2002,11/20/2023,-120.234697,1.79E+00,-15.681134,-7.223109
